error_rate,ntrees,select_policy,exp_type,npublishers,nsubscribers,topo,reroute_policy,const_alg,fprob,treatment,bandwidth,choicerandseed,cost,failrandseed,jitter,latency,oracle,overlap,pub_rate,randseed,reach
0,4,importance-chosen,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.0,results/fprob_comp/results_4t_0.00f_20s_10p_red-blue_disjoint_topo_0.00e,10.0,-1.82324505991e+17,45.3075,-7.21318998042e+18,1.0,10.0,1.0,492.23,1.0,2.08923355584e+18,1.0
0,4,importance-chosen,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.05,results/fprob_comp/results_4t_0.05f_20s_10p_red-blue_disjoint_topo_0.00e,10.0,-1.82324505991e+17,45.3075,-7.21318998042e+18,1.0,10.0,0.8835,492.23,0.753,2.08923355584e+18,0.7105
0,4,importance-chosen,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,results/fprob_comp/results_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e,10.0,-1.82324505991e+17,45.3075,-7.21318998042e+18,1.0,10.0,0.7345,492.23,0.532,2.08923355584e+18,0.493
0,4,importance-chosen,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.2,results/fprob_comp/results_4t_0.20f_20s_10p_red-blue_disjoint_topo_0.00e,10.0,-1.82324505991e+17,45.3075,-7.21318998042e+18,1.0,10.0,0.48,492.23,0.26,2.08923355584e+18,0.231
0,4,importance-chosen,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.3,results/fprob_comp/results_4t_0.30f_20s_10p_red-blue_disjoint_topo_0.00e,10.0,-1.82324505991e+17,45.3075,-7.21318998042e+18,1.0,10.0,0.2705,492.23,0.112,2.08923355584e+18,0.1035
0,4,oracle,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,oracle,0.0,results/fprob_comp/results_4t_0.00f_20s_10p_red-blue_disjoint_topo_0.00e,10.0,-1.82324505991e+17,0.0,-7.21318998042e+18,1.0,10.0,1.0,492.23,1.0,2.08923355584e+18,1.0
0,4,oracle,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,oracle,0.05,results/fprob_comp/results_4t_0.05f_20s_10p_red-blue_disjoint_topo_0.00e,10.0,-1.82324505991e+17,0.0,-7.21318998042e+18,1.0,10.0,0.8835,492.23,0.753,2.08923355584e+18,0.8835
0,4,oracle,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,oracle,0.1,results/fprob_comp/results_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e,10.0,-1.82324505991e+17,0.0,-7.21318998042e+18,1.0,10.0,0.7345,492.23,0.532,2.08923355584e+18,0.7345
0,4,oracle,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,oracle,0.2,results/fprob_comp/results_4t_0.20f_20s_10p_red-blue_disjoint_topo_0.00e,10.0,-1.82324505991e+17,0.0,-7.21318998042e+18,1.0,10.0,0.48,492.23,0.26,2.08923355584e+18,0.48
0,4,oracle,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,oracle,0.3,results/fprob_comp/results_4t_0.30f_20s_10p_red-blue_disjoint_topo_0.00e,10.0,-1.82324505991e+17,0.0,-7.21318998042e+18,1.0,10.0,0.2705,492.23,0.112,2.08923355584e+18,0.2705
0,4,unicast,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,unicast,0.0,results/fprob_comp/results_4t_0.00f_20s_10p_red-blue_disjoint_topo_0.00e,10.0,-1.82324505991e+17,78.114,-7.21318998042e+18,1.0,10.0,1.0,492.23,1.0,2.08923355584e+18,1.0
0,4,unicast,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,unicast,0.05,results/fprob_comp/results_4t_0.05f_20s_10p_red-blue_disjoint_topo_0.00e,10.0,-1.82324505991e+17,78.114,-7.21318998042e+18,1.0,10.0,0.8835,492.23,0.753,2.08923355584e+18,0.742
0,4,unicast,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,unicast,0.1,results/fprob_comp/results_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e,10.0,-1.82324505991e+17,78.114,-7.21318998042e+18,1.0,10.0,0.7345,492.23,0.532,2.08923355584e+18,0.523
0,4,unicast,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,unicast,0.2,results/fprob_comp/results_4t_0.20f_20s_10p_red-blue_disjoint_topo_0.00e,10.0,-1.82324505991e+17,78.114,-7.21318998042e+18,1.0,10.0,0.48,492.23,0.26,2.08923355584e+18,0.266
0,4,unicast,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,unicast,0.3,results/fprob_comp/results_4t_0.30f_20s_10p_red-blue_disjoint_topo_0.00e,10.0,-1.82324505991e+17,78.114,-7.21318998042e+18,1.0,10.0,0.2705,492.23,0.112,2.08923355584e+18,0.141
