treatment,algorithm,run,topic,exp_delay,exp_rcv,exp_utils,lams,lat,loss,max_utils,mus,nffs,nflows,nprios,ntopics,prio,prio_prob,ro_tol,subd,utils,util_perc
1,greedy-expon-0.05,4.5,106.917707529,0.00129910260753,20.6417420928,0.368631980091,34.3344273851,10.0,0.0,529.77423625,4486.70244019,9.0,9.0,9.0,200.0,3.91235521236,0.640976581305,0.05,1.0,412.12199346,0.777972996274
1,greedy-flat-0.05,4.5,107.283592342,0.00290325579302,18.8576168067,0.29349729461,34.6190977153,10.0,0.0,523.341192551,4465.48247876,9.0,9.0,9.0,200.0,3.91153474903,0.54488,0.05,1.0,328.428274654,0.627436123198
1,greedy-linear-0.05,4.5,107.468314028,0.00120844474447,21.1136373332,0.375277823146,34.6107182747,10.0,0.0,524.361563814,4475.91641061,9.0,9.0,9.0,200.0,3.91317567568,0.654461583012,0.05,1.0,419.17246402,0.799530461631
1,greedy-opt-0.05,4.5,107.363496622,0.00118426714616,22.210281281,0.40875454376,34.4463411807,10.0,0.0,517.323792331,4444.6843347,9.0,9.0,9.0,200.0,3.91235521236,0.706536455154,0.05,1.0,456.984935256,0.883252201858
2,greedy-expon-0.05,4.5,107.652247426,0.00111331537387,19.8576512923,0.578953334074,34.5480833546,10.0,0.0,831.892870435,4472.35147493,9.0,9.0,9.0,200.0,3.91235521236,0.610296367971,0.05,1.0,647.259858977,0.777956065008
2,greedy-flat-0.05,4.5,107.176523488,0.00262516384284,18.7462666407,0.463832567714,34.3185065592,10.0,0.0,823.765083043,4470.44591082,9.0,9.0,9.0,200.0,3.91317567568,0.54628,0.05,1.0,518.029421828,0.628738632618
2,greedy-linear-0.05,4.5,107.410146396,0.00100764699549,19.8110326162,0.582883510847,34.4865142579,10.0,0.0,817.600915034,4474.61804157,9.0,9.0,9.0,200.0,3.913996139,0.613694980695,0.05,1.0,650.505690617,0.795664390795
2,greedy-opt-0.05,4.5,107.652681789,0.0164945675583,20.4457193848,0.648901980844,34.6597487646,10.0,0.0,827.807042845,4459.8760923,9.0,9.0,9.0,200.0,3.91481660232,0.649610434104,0.05,1.0,723.54840994,0.873927788836
4,greedy-expon-0.05,4.5,106.916207778,0.000806445562269,18.482946454,0.998620065807,34.7569512332,10.0,0.0,1409.52014913,4454.48947317,9.0,9.0,9.0,200.0,3.91574061074,0.559472999827,0.05,1.0,1113.46286847,0.790013287181
4,greedy-flat-0.05,4.5,107.423626126,0.00202714698243,18.9854526686,0.812812623365,34.6561206755,10.0,0.0,1438.78514801,4505.34880568,9.0,9.0,9.0,200.0,3.913996139,0.54786,0.05,1.0,907.025623727,0.630225448529
4,greedy-linear-0.05,4.5,106.986940959,0.000766565768009,18.0595910778,1.05333630152,34.6799438766,10.0,0.0,1433.69008887,4427.88374222,9.0,9.0,9.0,200.0,3.913996139,0.551851544402,0.05,1.0,1175.54377422,0.819889049183
4,greedy-opt-0.05,4.5,107.290491474,0.000949792153535,18.2605126421,1.12648647416,35.0283350012,10.0,0.0,1439.77324481,4468.36732095,9.0,9.0,9.0,200.0,3.91481660232,0.560109334023,0.05,1.0,1255.91899276,0.872321598352
8,greedy-expon-0.05,4.5,107.533713803,0.000530042080967,16.954715605,1.90893547216,34.5285742151,10.0,0.0,2535.35193655,4471.36978373,9.0,9.0,9.0,200.0,3.913996139,0.506439875173,0.05,1.0,2108.03523691,0.831670544167
8,greedy-flat-0.05,4.5,107.589831622,0.00144270333539,18.8915612067,1.4537617826,34.664212269,10.0,0.0,2555.89939263,4459.42104053,9.0,9.0,9.0,200.0,3.91574061074,0.54501,0.05,1.0,1604.42541467,0.62755939946
8,greedy-linear-0.05,4.5,106.976629129,0.000488181802415,15.867510791,1.98736497781,34.4145602809,10.0,0.0,2601.04540797,4487.98978393,9.0,9.0,9.0,200.0,3.91317567568,0.479341554054,0.05,1.0,2197.36588509,0.84480158851
8,greedy-opt-0.05,4.5,107.345810811,0.000719913227852,15.4424053053,2.05083688311,34.397653497,10.0,0.0,2572.55630168,4364.13641185,9.0,9.0,9.0,200.0,3.91317567568,0.473182085009,0.05,1.0,2267.93236991,0.881405195767
