nffs,prio,topic,delay,rcv_rate,sim_exp_delay,utils,subd,prio_prob,mus,ro_tol,lams,ntopics,run,exp_utils,uws,lat,loss,nflows,exp_rcv,max_utils,exp_delay,nprios,rcv_lams
1,0,75.5923076923,0.000835928460281,1.0,0.000674142010796,0.561284756692,1.0,1.0,7131.42976329,0.1,22.5357126013,200.0,4.5,0.809762735007,1.16824068209,10.0,0.0,9.0,22.5357126013,0.809762735007,0.127235743337,9.0,22.5357126013
1,1,77.4,0.00096576719079,0.883008283185,0.000782105013954,0.372738960193,1.0,0.883062978585,6042.87597842,0.1,27.2395885374,200.0,4.5,0.588920619362,0.9304399456,10.0,0.0,9.0,24.0593274154,0.644931824973,0.121035049485,9.0,24.0576983566
1,2,95.4186046512,0.00120197813316,0.779539422845,0.000978754113821,0.310118308889,1.0,0.779784799257,5456.48260021,0.1,29.6183628417,200.0,4.50387596899,0.538338103898,0.934498384966,10.0,0.0,9.0,23.1002191304,0.647744920777,0.119927315279,9.0,23.09499323
1,3,105.056910569,0.00158221716523,0.688443182284,0.00128305705884,0.274583450288,1.0,0.688571442411,4235.45056847,0.1,33.2442969783,200.0,4.43902439024,0.524707212632,1.00315706231,10.0,0.0,9.0,22.8715035152,0.695335489398,0.116191169183,9.0,22.8709297715
1,4,110.458333333,0.00208763283011,0.608520520989,0.00165819440285,0.175231400137,1.0,0.60833674947,3766.54901582,0.1,33.2650295414,200.0,4.5,0.368055835917,0.77369746653,10.0,0.0,9.0,20.2347070093,0.536286217532,0.115503782287,9.0,20.2393662588
1,5,116.2,0.00287693387227,0.537391651711,0.00223954055589,0.107312983544,1.0,0.537345093246,3880.32474673,0.1,35.5749271149,200.0,4.5,0.248892544133,0.577800398536,10.0,0.0,9.0,19.0769744784,0.400500717171,0.111855437892,9.0,19.0794927408
1,6,130.066666667,0.00477891483274,0.47469984741,0.00365461778307,0.0788835796948,1.0,0.474669584836,3224.22383885,0.1,39.174822284,200.0,4.5,0.202386045706,0.520282217588,10.0,0.0,9.0,18.6133114663,0.360632152217,0.107347441306,9.0,18.6156459149
1,7,130.616666667,0.00935476714034,0.419407186154,0.00697974795171,0.0359641545865,1.0,0.419332186542,3103.85876244,0.1,36.4890215961,200.0,4.5,0.10299585388,0.295830626343,10.0,0.0,9.0,15.281124333,0.205054164573,0.105505148867,9.0,15.2841102903
1,8,130.408333333,0.0278431922666,0.370599598634,0.0204060005004,0.0148350701288,1.0,0.370470356557,3043.80141159,0.1,39.9670899538,200.0,4.5,0.0469343690981,0.148929812721,10.0,0.0,9.0,14.7820432863,0.103230279789,0.102211415684,9.0,14.7855594193
5,0,72.9476923077,0.000797108246174,1.0,0.000646415795015,0.488477020634,1.0,1.0,7552.2642602,0.1,20.579457942,200.0,4.5,0.704723375257,1.01670091868,10.0,0.0,9.0,20.579457942,0.704723375257,0.106670133443,9.0,20.579457942
5,1,83.8153846154,0.000957683731769,0.878694359169,0.000787454505453,0.378606264086,1.0,0.878709727917,6028.40209994,0.1,27.4290345596,200.0,4.5,0.60039081818,0.952091512855,10.0,0.0,9.0,24.1075205884,0.65993954777,0.10434720438,9.0,24.107401222
5,2,97.5523076923,0.00118205451811,0.772211878448,0.000973983756108,0.305641997672,1.0,0.772177136911,5132.51940105,0.1,30.8980386484,200.0,4.5,0.533928693213,0.932838888783,10.0,0.0,9.0,23.8576788721,0.646594645677,0.103658025077,9.0,23.8580539495
5,3,103.238095238,0.00149609811533,0.678753666977,0.00122195904477,0.220284418115,1.0,0.678826110077,4500.96712858,0.1,33.3698181759,200.0,4.5,0.424651107256,0.818881513712,10.0,0.0,9.0,22.6527385125,0.567605412442,0.103336795737,9.0,22.6516363509
5,4,113.005,0.00202536040187,0.596366282709,0.00163426538698,0.165900080933,1.0,0.596401883588,3924.99254994,0.1,35.8166546656,200.0,4.5,0.354422210758,0.757537269799,10.0,0.0,9.0,21.3521458903,0.52508482273,0.102927093083,9.0,21.3503068129
5,5,120.265,0.00290052299295,0.524198028857,0.00229548093327,0.103259589998,1.0,0.524191524807,3562.58829953,0.1,36.3871731682,200.0,4.5,0.245247783251,0.583055651355,10.0,0.0,9.0,19.0576815606,0.404143380846,0.102426022572,9.0,19.0573120203
5,6,125.623333333,0.0047379786825,0.46073694171,0.00367435142914,0.06525755306,1.0,0.460752715371,3232.29074696,0.1,39.0768610456,200.0,4.5,0.172008954698,0.454007707087,10.0,0.0,9.0,17.9973267888,0.31469416212,0.101622122753,9.0,17.9958207135
5,7,130.913333333,0.00959402689567,0.404989377145,0.00730048941467,0.0332285379528,1.0,0.405016712432,3006.38052298,0.1,38.7202728111,200.0,4.5,0.0974905692073,0.286634413408,10.0,0.0,9.0,15.6770195792,0.198679835506,0.101075232113,9.0,15.6757591483
5,8,124.931666667,0.0296743021848,0.355943147573,0.0223551510595,0.0128286531334,1.0,0.35604535943,2926.84540148,0.1,41.7506861887,200.0,4.5,0.0420729648879,0.138308806791,10.0,0.0,9.0,14.8513227211,0.0958683594737,0.100483978157,9.0,14.8456844655
10,0,73.4776923077,0.000801143929932,1.0,0.000651656277288,0.504818680177,1.0,1.0,7474.32089204,0.1,19.5208289345,200.0,4.5,0.72829940644,1.05071394195,10.0,0.0,9.0,19.5208289345,0.72829940644,0.103696739184,9.0,19.5208289345
10,1,83.6953846154,0.000957044706685,0.882907967055,0.000788940192515,0.382158880659,1.0,0.882907366961,6088.31841342,0.1,26.4168646379,200.0,4.5,0.603909220381,0.954418389052,10.0,0.0,9.0,23.3205421249,0.661552415446,0.102301110828,9.0,23.3210126368
10,2,95.1253846154,0.00117785838314,0.779537826495,0.000973319939759,0.318664544744,1.0,0.77957894212,5059.85332954,0.1,30.081871534,200.0,4.5,0.552693870404,0.958751300022,10.0,0.0,9.0,23.4472125258,0.664555760468,0.101884301379,9.0,23.4461700749
10,3,105.422580645,0.0015168858084,0.688453294994,0.0012459387711,0.24421075965,1.0,0.688427027928,4298.7898261,0.1,32.5354945686,200.0,4.59677419355,0.466478792517,0.891472454251,10.0,0.0,9.0,22.3886065455,0.617921618211,0.1017416182,9.0,22.3900360701
10,4,114.145,0.00203539706009,0.607970076681,0.00164714795171,0.173169924683,1.0,0.607909012874,3869.2265763,0.1,34.5032775613,200.0,4.5,0.364388075703,0.767310921076,10.0,0.0,9.0,20.9645490079,0.531859401557,0.101510699805,9.0,20.965670225
10,5,120.518333333,0.00291778493815,0.536815388611,0.00231492402722,0.113300645243,1.0,0.536873121683,3503.68379668,0.1,36.2603548253,200.0,4.5,0.26329337007,0.612432334557,10.0,0.0,9.0,19.4762980395,0.424505745982,0.101153596944,9.0,19.4748442841
10,6,121.300833333,0.00472207557821,0.474207292542,0.00366426262743,0.0693145756482,1.0,0.474169560486,3278.13007698,0.1,37.9916216578,200.0,4.5,0.178404480919,0.460001430666,10.0,0.0,9.0,18.0038495904,0.31884869472,0.100800649292,9.0,18.004865868
10,7,129.46,0.00970026113011,0.418863131121,0.00738656409707,0.0375477618816,1.0,0.418817083501,2969.47884149,0.1,38.7767456125,200.0,4.5,0.106988392269,0.305579837517,10.0,0.0,9.0,16.2357921808,0.211811802811,0.100500774615,9.0,16.2373091619
10,8,127.324166667,0.0328482880823,0.369863757112,0.0246110511991,0.0148913336978,1.0,0.369950478152,2890.63986748,0.1,41.9481010505,200.0,4.5,0.0471375564604,0.149627537183,10.0,0.0,9.0,15.5068816075,0.103713905533,0.100211766966,9.0,15.5036980175
20,0,70.6073076923,0.000802653880177,1.0,0.000650459069276,0.489668300307,1.0,1.0,7375.90816824,0.1,19.9674800774,200.0,4.5,0.706442028533,1.01918041124,10.0,0.0,9.0,19.9674800774,0.706442028533,0.101765590325,9.0,19.9674800774
20,1,85.8511538462,0.000963114552402,0.882297743422,0.000791433325238,0.383038903422,1.0,0.88228607603,5943.31338787,0.1,26.5524905354,200.0,4.5,0.605542899749,0.957339320554,10.0,0.0,9.0,23.4251029095,0.663577050881,0.101146101036,9.0,23.4251711
20,2,99.0819230769,0.00120646136009,0.778457597641,0.000994946105896,0.323056344487,1.0,0.778484020807,4885.37916698,0.1,30.2729654029,200.0,4.5,0.561069542745,0.974570820834,10.0,0.0,9.0,23.5696026669,0.675521016717,0.100928561448,9.0,23.5686576973
20,3,108.294444444,0.00155370554752,0.686658157719,0.00126989650174,0.23995464508,1.0,0.686644158274,4214.1544452,0.1,32.7059410475,200.0,4.54761904762,0.458672787205,0.877107633938,10.0,0.0,9.0,22.4483125589,0.607964683512,0.100823840829,9.0,22.447988831
20,4,113.7325,0.0020720775344,0.60624600343,0.00166555137633,0.160988432616,1.0,0.606209045114,3825.94790956,0.1,34.2388673148,200.0,4.5,0.339499390904,0.716465065074,10.0,0.0,9.0,20.7461665082,0.496615739826,0.100750345129,9.0,20.7464348027
20,5,117.7725,0.00297086134653,0.534957131445,0.00234229590691,0.105755305435,1.0,0.535001056275,3487.77598744,0.1,36.0477227125,200.0,4.5,0.246419006558,0.574815389758,10.0,0.0,9.0,19.2921205616,0.398431666753,0.100574916185,9.0,19.2913770803
20,6,126.5125,0.00490505841174,0.472217062468,0.00379230952086,0.0660929372543,1.0,0.472190569527,3147.47782209,0.1,37.3368643227,200.0,4.5,0.170544256133,0.440829850465,10.0,0.0,9.0,17.615124168,0.305559967956,0.100406434299,9.0,17.615743714
20,7,127.617083333,0.00996712675648,0.416763012789,0.00755513854815,0.0339211127546,1.0,0.416783305442,3016.70606643,0.1,38.4404839461,200.0,4.5,0.097247732006,0.279531146929,10.0,0.0,9.0,16.0071812224,0.193756226373,0.100248160812,9.0,16.006554526
20,8,122.954166667,0.0331935603641,0.367864585014,0.0248640081784,0.0134463008001,1.0,0.367903184929,3018.24519358,0.1,41.6675247947,200.0,4.5,0.0427912825323,0.136631349515,10.0,0.0,9.0,15.3190316569,0.0947056346921,0.100108389679,9.0,15.3176563434
50,0,75.0792307692,0.000807015285775,1.0,0.000657144632427,0.498346993457,1.0,1.0,7393.38771141,0.1,20.0238004988,200.0,4.5,0.718962736103,1.03724397396,10.0,0.0,9.0,20.0238004988,0.718962736103,0.100694640585,9.0,20.0238004988
50,1,83.2023076923,0.000963116343414,0.88129324466,0.00079437898751,0.380009769378,1.0,0.881309051643,5921.91874565,0.1,26.1881324838,200.0,4.5,0.601301829356,0.951436381272,10.0,0.0,9.0,23.0787530129,0.659485445161,0.100468903886,9.0,23.0782338616
50,2,96.2747692308,0.00120131831242,0.776737021891,0.000994476774678,0.319146808803,1.0,0.776722202268,4965.3923522,0.1,30.0644524112,200.0,4.5,0.555242432567,0.966038567912,10.0,0.0,9.0,23.3509280712,0.66960690966,0.100377597512,9.0,23.3510151103
50,3,106.955967742,0.0015415593383,0.684541229463,0.00126607452739,0.235732689124,1.0,0.684530477855,4288.69611084,0.1,32.2080593985,200.0,4.47580645161,0.452033796547,0.866927783759,10.0,0.0,9.0,22.0446786703,0.600908549061,0.100354759151,9.0,22.0453472685
50,4,114.257833333,0.0020653740842,0.603326901627,0.00167049466204,0.168394582575,1.0,0.603348673591,3813.54613545,0.1,34.5719879245,200.0,4.5,0.356666988939,0.755597414989,10.0,0.0,9.0,20.8565267578,0.523740217838,0.100300591351,9.0,20.856220188
50,5,119.475666667,0.00298264253827,0.53180146997,0.00236573202902,0.107756288899,1.0,0.531781790344,3468.30808467,0.1,35.8668442608,200.0,4.5,0.252677891247,0.592710127129,10.0,0.0,9.0,19.0717198311,0.410835353509,0.100236599937,9.0,19.0723441313
50,6,123.153833333,0.00487663273572,0.468705310079,0.00378896194672,0.0655529267976,1.0,0.46871376773,3226.35318093,0.1,37.5179335167,200.0,4.5,0.170546865123,0.443922198761,10.0,0.0,9.0,17.5796531063,0.307703420459,0.100166039811,9.0,17.578950693
50,7,127.51,0.00996488780022,0.413162528073,0.00759723470743,0.0353396174128,1.0,0.413134136057,2986.55611504,0.1,38.7670844106,200.0,4.5,0.102119173797,0.295315142334,10.0,0.0,9.0,16.0132332876,0.204696858286,0.100102816061,9.0,16.0144272868
50,8,124.819166667,0.0344720091027,0.364129744605,0.0259258349473,0.0138417384235,1.0,0.364152709931,2899.05038594,0.1,41.5407366741,200.0,4.5,0.0445400428337,0.143452910697,10.0,0.0,9.0,15.1237379814,0.0994339805928,0.100046790866,9.0,15.1227601233
100,0,70.4944615385,0.000822778382021,1.0,0.000664663428705,0.496357811801,1.0,1.0,7439.8601576,0.1,20.0603336208,200.0,2.0,0.716092953592,1.03310375296,10.0,0.0,9.0,20.0603336208,0.716092953592,0.10034077001,9.0,20.0603336208
100,1,82.9001538462,0.000974095102423,0.879965025866,0.000796418154752,0.376460739829,1.0,0.879983759657,6116.19718702,0.1,26.9018529899,200.0,2.0,0.596285447528,0.944465846153,10.0,0.0,9.0,23.6741705703,0.654653838396,0.100220832241,9.0,23.6738028839
100,2,95.5190769231,0.00120981607801,0.77433743307,0.000993743613348,0.30853108087,1.0,0.774381936436,5053.54869764,0.1,29.8291580559,200.0,2.0,0.538030958722,0.938235011402,10.0,0.0,9.0,23.0996262799,0.650334952856,0.100192748128,9.0,23.0983776995
100,3,106.391904762,0.00155942073472,0.681555464016,0.00127352422075,0.236562971563,1.0,0.681583286982,4326.94401857,0.1,32.1648703164,200.0,2.0,0.455202438452,0.875954772879,10.0,0.0,9.0,21.926796025,0.607165581119,0.100174847433,9.0,21.9259316463
100,4,115.474666667,0.00209334277503,0.599709368015,0.0016842432869,0.166086210512,1.0,0.599700062803,3792.39727095,0.1,34.0470150354,200.0,2.0,0.35354909218,0.752710826699,10.0,0.0,9.0,20.4180030983,0.521739387303,0.10015812469,9.0,20.4180835459
100,5,119.911166667,0.00301271509837,0.527731257558,0.00237676253913,0.107542542508,1.0,0.5277551163,3512.70646422,0.1,35.4921411105,200.0,2.0,0.253762198886,0.598888919482,10.0,0.0,9.0,18.733086982,0.415118166007,0.100124648649,9.0,18.732103057
100,6,125.230166667,0.00490642214569,0.464470728067,0.00379217570612,0.0649265941483,1.0,0.464447658784,3260.27863404,0.1,36.7758012989,200.0,2.0,0.170188543271,0.446293484815,10.0,0.0,9.0,17.0805523544,0.309347070702,0.100090076385,9.0,17.0812929753
100,7,127.508,0.00982687100027,0.408730639379,0.00745452686713,0.0341856029736,1.0,0.408739950978,2999.76766204,0.1,38.1143866865,200.0,2.0,0.0997450871433,0.291166439143,10.0,0.0,9.0,15.5792146663,0.201821196366,0.100056937642,9.0,15.5791218047
100,8,128.714,0.0335076814227,0.359739325823,0.0250711216609,0.0143490882628,1.0,0.359719019228,2842.86943626,0.1,41.2626978247,200.0,2.0,0.0466808594102,0.151969024705,10.0,0.0,9.0,14.8492137402,0.105336901007,0.100026685882,9.0,14.8499191448
